y_m,tau_Pa,tau_over_tau_cr
-7.261236,6.1722,0.211845
-7.188259,16.7237,0.573993
-7.115281,22.6892,0.778742
-7.042304,26.1947,0.899059
-6.969327,30.1535,1.034933
-6.896350,34.5360,1.185351
-6.823373,40.7214,1.397648
-6.750395,46.8795,1.609007
-6.677418,49.5724,1.701433
-6.604441,53.2950,1.829198
-6.531464,55.6803,1.911069
-6.458486,57.1702,1.962204
-6.385509,58.1589,1.996138
-6.312532,59.0682,2.027346
-6.239555,59.5165,2.042735
-6.166577,59.6596,2.047645
-6.093600,60.0914,2.062468
-6.020623,60.1252,2.063626
-5.947646,60.0357,2.060554
-5.874668,60.3874,2.072626
-5.801691,60.4646,2.075276
-5.728714,60.4480,2.074705
-5.655737,60.4678,2.075385
-5.582759,60.4449,2.074601
-5.509782,60.4910,2.076182
-5.436805,60.5021,2.076561
-5.363828,60.5800,2.079235
-5.290850,60.4457,2.074626
-5.217873,60.2098,2.066529
-5.144896,60.7848,2.086264
-5.071919,60.4829,2.075903
-4.998941,60.2825,2.069026
-4.925964,60.7978,2.086711
-4.852987,60.5343,2.077667
-4.780010,60.3557,2.071538
-4.707032,60.7597,2.085402
-4.634055,60.3767,2.072258
-4.561078,60.2936,2.069407
-4.488101,60.7167,2.083928
-4.415123,61.2084,2.100803
-4.342146,60.7664,2.085633
-4.269169,60.6173,2.080517
-4.196192,60.6424,2.081377
-4.123214,60.4139,2.073534
-4.050237,60.2389,2.067529
-3.977260,61.7197,2.118352
-3.904283,60.5822,2.079311
-3.831305,60.3354,2.070840
-3.758328,61.7564,2.119611
-3.685351,60.9659,2.092482
-3.612374,59.8316,2.053550
-3.539396,61.7745,2.120234
-3.466419,59.9728,2.058396
-3.393442,61.5387,2.112141
-3.320465,60.3963,2.072931
-3.247487,60.7196,2.084026
-3.174510,61.8180,2.121728
-3.101533,59.5518,2.043946
-3.028556,62.0470,2.129587
-2.955578,59.6267,2.046517
-2.882601,62.0702,2.130382
-2.809624,60.4841,2.075944
-2.736647,62.0803,2.130728
-2.663669,61.4705,2.109800
-2.590692,60.6844,2.082820
-2.517715,62.4167,2.142276
-2.444738,59.4385,2.040057
-2.371760,62.2472,2.136458
-2.298783,61.5505,2.112545
-2.225806,59.4478,2.040376
-2.152829,62.6133,2.149023
-2.079852,61.5884,2.113846
-2.006874,60.3035,2.069747
-1.933897,62.6718,2.151033
-1.860920,62.3247,2.139119
-1.787943,59.2201,2.032562
-1.714965,61.7554,2.119578
-1.641988,62.4947,2.144951
-1.569011,62.3720,2.140740
-1.496034,59.1397,2.029803
-1.423056,61.2214,2.101251
-1.350079,61.9623,2.126678
-1.277102,62.1409,2.132811
-1.204125,62.2673,2.137147
-1.131147,61.4383,2.108695
-1.058170,58.1133,1.994575
-0.985193,60.5529,2.078305
-0.912216,60.5766,2.079120
-0.839238,62.1000,2.131404
-0.766261,62.2539,2.136688
-0.693284,62.4098,2.142040
-0.620307,62.5293,2.146140
-0.547329,62.6572,2.150530
-0.474352,62.7669,2.154294
-0.401375,62.8419,2.156869
-0.328398,62.9205,2.159566
-0.255420,62.9797,2.161599
-0.182443,63.0148,2.162803
-0.109466,63.0428,2.163765
-0.036489,63.0554,2.164196
0.036489,63.0556,2.164204
0.109466,63.0404,2.163681
0.182443,63.0099,2.162634
0.255420,62.9698,2.161259
0.328398,62.9061,2.159072
0.401375,62.8263,2.156335
0.474352,62.7515,2.153768
0.547329,62.6362,2.149810
0.620307,62.4968,2.145025
0.693284,62.3607,2.140354
0.766261,62.1379,2.132707
0.839238,61.8267,2.122025
0.912216,61.3126,2.104379
0.985193,60.7933,2.086558
1.058170,57.8673,1.986131
1.131147,61.3419,2.105386
1.204125,62.2118,2.135244
1.277102,62.1030,2.131510
1.350079,61.9372,2.125817
1.423056,61.2024,2.100599
1.496034,59.1286,2.029422
1.569011,62.3624,2.140411
1.641988,62.4880,2.144722
1.714965,61.7495,2.119376
1.787943,59.2178,2.032481
1.860920,62.3211,2.138996
1.933897,62.6694,2.150949
2.006874,60.3024,2.069707
2.079852,61.5853,2.113741
2.152829,62.6124,2.148991
2.225806,59.4475,2.040367
2.298783,61.5479,2.112456
2.371760,62.2465,2.136435
2.444738,59.4417,2.040166
2.517715,62.4171,2.142289
2.590692,60.6857,2.082864
2.663669,61.4705,2.109801
2.736647,62.0812,2.130761
2.809624,60.4847,2.075966
2.882601,62.0751,2.130550
2.955578,59.6343,2.046778
3.028556,62.0508,2.129718
3.101533,59.5559,2.044085
3.174510,61.8187,2.121750
3.247487,60.7204,2.084054
3.320465,60.3951,2.072890
3.393442,61.5394,2.112163
3.466419,59.9713,2.058343
3.539396,61.7729,2.120177
3.612374,59.8291,2.053463
3.685351,60.9670,2.092517
3.758328,61.7589,2.119699
3.831305,60.3389,2.070961
3.904283,60.5862,2.079447
3.977260,61.7240,2.118501
4.050237,60.2429,2.067667
4.123214,60.4168,2.073634
4.196192,60.6444,2.081445
4.269169,60.6175,2.080524
4.342146,60.7651,2.085591
4.415123,61.2078,2.100783
4.488101,60.7151,2.083873
4.561078,60.2900,2.069283
4.634055,60.3750,2.072200
4.707032,60.7584,2.085358
4.780010,60.3538,2.071473
4.852987,60.5310,2.077556
4.925964,60.7942,2.086587
4.998941,60.2786,2.068890
5.071919,60.4772,2.075709
5.144896,60.7823,2.086180
5.217873,60.2074,2.066448
5.290850,60.4433,2.074545
5.363828,60.5779,2.079165
5.436805,60.5008,2.076517
5.509782,60.4906,2.076166
5.582759,60.4436,2.074554
5.655737,60.4691,2.075429
5.728714,60.4500,2.074775
5.801691,60.4670,2.075359
5.874668,60.3917,2.072772
5.947646,60.0410,2.060736
6.020623,60.1319,2.063856
6.093600,60.0976,2.062680
6.166577,59.6683,2.047946
6.239555,59.5266,2.043081
6.312532,59.0773,2.027660
6.385509,58.1671,1.996421
6.458486,57.1791,1.962510
6.531464,55.6939,1.911535
6.604441,53.3085,1.829661
6.677418,49.5768,1.701581
6.750395,46.8789,1.608986
6.823373,40.7138,1.397387
6.896350,34.5265,1.185022
6.969327,30.1428,1.034568
7.042304,26.1784,0.898501
7.115281,22.6660,0.777945
7.188259,16.6910,0.572870
7.261236,6.1556,0.211274
